medal,name,nationality,location,year,gender,prueba,mark,mark_x,mark_xx,mark_unidades
B,Arthur JONATH,GER,Los Angeles,1932,M,100M,10.4,00:00:10.40,10.4,segundos
G,Harold ABRAHAMS,GBR,Paris,1924,M,100M,10.6,00:00:10.60,10.6,segundos
S,Jackson SCHOLZ,USA,Paris,1924,M,100M,10.7,00:00:10.70,10.7,segundos
B,Arthur PORRITT,NZL,Paris,1924,M,100M,10.8,00:00:10.80,10.8,segundos
G,Ralph CRAIG,USA,Stockholm,1912,M,100M,10.8,00:00:10.80,10.8,segundos
S,Alvah MEYER,USA,Stockholm,1912,M,100M,10.9,00:00:10.90,10.9,segundos
B,Donald LIPPINCOTT,USA,Stockholm,1912,M,100M,10.9,00:00:10.90,10.9,segundos
G,Archie HAHN,USA,St Louis,1904,M,100M,11,00:00:11.00,11,segundos
S,Nate CARTMELL,USA,St Louis,1904,M,100M,11.2,00:00:11.20,11.2,segundos
B,William HOGENSON,USA,St Louis,1904,M,100M,11.2,00:00:11.20,11.2,segundos
G,Thomas BURKE,USA,Athens,1896,M,100M,12,00:00:12.00,12,segundos
S,Fritz HOFMANN,GER,Athens,1896,M,100M,12.2,00:00:12.20,12.2,segundos
B,Alajos SZOKOLYI,HUN,Athens,1896,M,100M,12.6,00:00:12.60,12.6,segundos
B,Francis LANE,USA,Athens,1896,M,100M,12.6,00:00:12.60,12.6,segundos
G,Omar MCLEOD,JAM,Rio,2016,M,110M Hurdles,13.05,00:00:13.05,13.05,segundos
S,Orlando ORTEGA,ESP,Rio,2016,M,110M Hurdles,13.17,00:00:13.17,13.17,segundos
B,Dimitri BASCOU,FRA,Rio,2016,M,110M Hurdles,13.24,00:00:13.24,13.24,segundos
G,Dayron ROBLES,CUB,Beijing,2008,M,110M Hurdles,"12.93,+0.1","12.93,+0.1",,segundos
S,David PAYNE,USA,Beijing,2008,M,110M Hurdles,"13.17,+0.1","13.17,+0.1",,segundos
B,David OLIVER,USA,Beijing,2008,M,110M Hurdles,"13.18,+0.1","13.18,+0.1",,segundos
G,Anier GARCIA,CUB,Sydney,2000,M,110M Hurdles,13,00:00:13.00,13,segundos
S,Terrence TRAMMELL,USA,Sydney,2000,M,110M Hurdles,13.16,00:00:13.16,13.16,segundos
B,Mark CREAR,USA,Sydney,2000,M,110M Hurdles,13.22,00:00:13.22,13.22,segundos
G,Mark MCKOY,CAN,Barcelona,1992,M,110M Hurdles,13.12,00:00:13.12,13.12,segundos
S,Tony DEES,USA,Barcelona,1992,M,110M Hurdles,13.24,00:00:13.24,13.24,segundos
B,Jack PIERCE,USA,Barcelona,1992,M,110M Hurdles,13.26,00:00:13.26,13.26,segundos
G,Roger KINGDOM,USA,Los Angeles,1984,M,110M Hurdles,13.2,00:00:13.20,13.2,segundos
S,Greg FOSTER,USA,Los Angeles,1984,M,110M Hurdles,13.23,00:00:13.23,13.23,segundos
B,Arto BRYGGARE,FIN,Los Angeles,1984,M,110M Hurdles,13.4,00:00:13.40,13.4,segundos
G,Guy DRUT,FRA,Montreal,1976,M,110M Hurdles,13.3,00:00:13.30,13.3,segundos
S,Alejandro CASAÃAS,CUB,Montreal,1976,M,110M Hurdles,13.33,00:00:13.33,13.33,segundos
B,Willie DAVENPORT,USA,Montreal,1976,M,110M Hurdles,13.38,00:00:13.38,13.38,segundos
G,Willie DAVENPORT,USA,Mexico,1968,M,110M Hurdles,13.3,00:00:13.30,13.3,segundos
S,Ervin HALL,USA,Mexico,1968,M,110M Hurdles,13.4,00:00:13.40,13.4,segundos
B,Eddy OTTOZ,ITA,Mexico,1968,M,110M Hurdles,13.4,00:00:13.40,13.4,segundos
