medal,name,nationality,location,year,gender,prueba,mark,mark_x,mark_xx,mark_unidades
G,Jacek WSZOLA,POL,Montreal,1976,M,High Jump,2.25,00:00:02.25,2.25,segundos
S,Greg JOY,CAN,Montreal,1976,M,High Jump,2.23,00:00:02.23,2.23,segundos
B,Dwight STONES,USA,Montreal,1976,M,High Jump,2.21,00:00:02.21,2.21,segundos
G,Robert SHAVLAKADZE,URS,Rome,1960,M,High Jump,2.16,00:00:02.16,2.16,segundos
S,Valeri BRUMEL,URS,Rome,1960,M,High Jump,2.16,00:00:02.16,2.16,segundos
B,John THOMAS,USA,Rome,1960,M,High Jump,2.14,00:00:02.14,2.14,segundos
G,Walt DAVIS,USA,Helsinki,1952,M,High Jump,2.04,00:00:02.04,2.04,segundos
S,Kenneth WIESNER,USA,Helsinki,1952,M,High Jump,2.01,00:00:02.01,2.01,segundos
B,Jose TELLES DA CONCEICAO,BRA,Helsinki,1952,M,High Jump,1.98,00:00:01.98,1.98,segundos
G,Harry PORTER,USA,London,1908,M,High Jump,1.9,1.9,,segundos
S,IstvÃ¡n SOMODI,HUN,London,1908,M,High Jump,1.88,00:00:01.88,1.88,segundos
S,Cornelius LEAHY,GBR,London,1908,M,High Jump,1.88,00:00:01.88,1.88,segundos
S,Georges ANDRE,FRA,London,1908,M,High Jump,1.88,00:00:01.88,1.88,segundos
G,Irving BAXTER,USA,Paris,1900,M,High Jump,1.9,1.9,,segundos
S,Patrick LEAHY,GBR,Paris,1900,M,High Jump,1.78,00:00:01.78,1.78,segundos
B,Lajos GÃNCZY,HUN,Paris,1900,M,High Jump,1.75,00:00:01.75,1.75,segundos
G,Ivan UKHOV,RUS,London,2012,M,High Jump,2.38,00:00:02.38,2.38,segundos
S,Erik KYNARD,USA,London,2012,M,High Jump,2.33,00:00:02.33,2.33,segundos
B,Derek DROUIN,CAN,London,2012,M,High Jump,2.29,00:00:02.29,2.29,segundos
B,Mutaz Essa BARSHIM,QAT,London,2012,M,High Jump,2.29,00:00:02.29,2.29,segundos
B,Robert GRABARZ,GBR,London,2012,M,High Jump,2.29,00:00:02.29,2.29,segundos
G,Stefan HOLM,SWE,Athens,2004,M,High Jump,2.36,00:00:02.36,2.36,segundos
S,Matt HEMINGWAY,USA,Athens,2004,M,High Jump,2.34,00:00:02.34,2.34,segundos
B,Jaroslav BABA,CZE,Athens,2004,M,High Jump,2.34,00:00:02.34,2.34,segundos
G,Charles AUSTIN,USA,Atlanta,1996,M,High Jump,2.39,00:00:02.39,2.39,segundos
S,Artur PARTYKA,POL,Atlanta,1996,M,High Jump,2.37,00:00:02.37,2.37,segundos
B,Steve SMITH,GBR,Atlanta,1996,M,High Jump,2.35,00:00:02.35,2.35,segundos
G,Gerd WESSIG,GDR,Moscow,1980,M,High Jump,2.36,00:00:02.36,2.36,segundos
S,Jacek WSZOLA,POL,Moscow,1980,M,High Jump,2.31,00:00:02.31,2.31,segundos
B,JÃ¶rg FREIMUTH,GDR,Moscow,1980,M,High Jump,2.31,00:00:02.31,2.31,segundos
G,Valeri BRUMEL,URS,Tokyo,1964,M,High Jump,2.18,00:00:02.18,2.18,segundos
S,John THOMAS,USA,Tokyo,1964,M,High Jump,2.18,00:00:02.18,2.18,segundos
B,John RAMBO,USA,Tokyo,1964,M,High Jump,2.16,00:00:02.16,2.16,segundos
G,Duncan MCNAUGHTON,CAN,Los Angeles,1932,M,High Jump,1.97,00:00:01.97,1.97,segundos
S,Robert VAN OSDEL,USA,Los Angeles,1932,M,High Jump,1.97,00:00:01.97,1.97,segundos
B,Simeon TORIBIO,PHI,Los Angeles,1932,M,High Jump,1.97,00:00:01.97,1.97,segundos
G,Harold OSBORN,USA,Paris,1924,M,High Jump,1.98,00:00:01.98,1.98,segundos
S,Leroy BROWN,USA,Paris,1924,M,High Jump,1.95,00:00:01.95,1.95,segundos
B,Pierre LEWDEN,FRA,Paris,1924,M,High Jump,1.92,00:00:01.92,1.92,segundos
G,Alma RICHARDS,USA,Stockholm,1912,M,High Jump,1.93,00:00:01.93,1.93,segundos
S,Hans LIESCHE,GER,Stockholm,1912,M,High Jump,1.91,00:00:01.91,1.91,segundos
B,George HORINE,USA,Stockholm,1912,M,High Jump,1.89,00:00:01.89,1.89,segundos
G,Samuel JONES,USA,St Louis,1904,M,High Jump,1.8,1.8,,segundos
S,Garrett SERVISS,USA,St Louis,1904,M,High Jump,1.77,00:00:01.77,1.77,segundos
B,Paul WEINSTEIN,GER,St Louis,1904,M,High Jump,1.77,00:00:01.77,1.77,segundos
G,Ellery CLARK,USA,Athens,1896,M,High Jump,1.81,00:00:01.81,1.81,segundos
S,Robert GARRETT,USA,Athens,1896,M,High Jump,1.65,00:00:01.65,1.65,segundos
S,James CONNOLLY,USA,Athens,1896,M,High Jump,1.65,00:00:01.65,1.65,segundos
G,Thomas ROHLER,GER,Rio,2016,M,Javelin Throw,,,,segundos
S,Julius YEGO,KEN,Rio,2016,M,Javelin Throw,,,,segundos
B,Keshorn WALCOTT,TTO,Rio,2016,M,Javelin Throw,,,,segundos
G,Andreas THORKILDSEN,NOR,Beijing,2008,M,Javelin Throw,90.57,00:00:90.57,90.57,segundos
S,Ainars KOVALS,LAT,Beijing,2008,M,Javelin Throw,86.64,00:00:86.64,86.64,segundos
B,Tero PITKAMAKI,FIN,Beijing,2008,M,Javelin Throw,86.16,00:00:86.16,86.16,segundos
G,Jan Å½ELEZNÃ,CZE,Sydney,2000,M,Javelin Throw,90.17,00:00:90.17,90.17,segundos
S,Steve BACKLEY,GBR,Sydney,2000,M,Javelin Throw,89.85,00:00:89.85,89.85,segundos
B,Sergey MAKAROV,RUS,Sydney,2000,M,Javelin Throw,88.67,00:00:88.67,88.67,segundos
G,Jan Å½ELEZNÃ,TCH,Barcelona,1992,M,Javelin Throw,89.66,00:00:89.66,89.66,segundos
S,Seppo RÃTY,FIN,Barcelona,1992,M,Javelin Throw,86.6,00:00:86.60,86.6,segundos
B,Steve BACKLEY,GBR,Barcelona,1992,M,Javelin Throw,83.38,00:00:83.38,83.38,segundos
G,Arto HÃRKÃNEN,FIN,Los Angeles,1984,M,Javelin Throw,86.76,00:00:86.76,86.76,segundos
S,David OTTLEY,GBR,Los Angeles,1984,M,Javelin Throw,85.74,00:00:85.74,85.74,segundos
B,Kenth ELDEBRINK,SWE,Los Angeles,1984,M,Javelin Throw,83.72,00:00:83.72,83.72,segundos
G,Miklos NEMETH,HUN,Montreal,1976,M,Javelin Throw,94.58,00:00:94.58,94.58,segundos
S,Hannu Juhani SIITONEN,FIN,Montreal,1976,M,Javelin Throw,87.92,00:00:87.92,87.92,segundos
B,Gheorghe MEGELEA,ROU,Montreal,1976,M,Javelin Throw,87.16,00:00:87.16,87.16,segundos
G,Viktor TSYBULENKO,URS,Rome,1960,M,Javelin Throw,84.64,00:00:84.64,84.64,segundos
S,Walter KRÃGER,EUA,Rome,1960,M,Javelin Throw,79.36,00:00:79.36,79.36,segundos
B,Gergely KULCSÃR,HUN,Rome,1960,M,Javelin Throw,78.57,00:00:78.57,78.57,segundos
G,Cy YOUNG,USA,Helsinki,1952,M,Javelin Throw,73.78,00:00:73.78,73.78,segundos
S,William Preston MILLER,USA,Helsinki,1952,M,Javelin Throw,72.46,00:00:72.46,72.46,segundos
B,Toivo HYYTIÃINEN,FIN,Helsinki,1952,M,Javelin Throw,71.89,00:00:71.89,71.89,segundos
G,Eric LEMMING,SWE,London,1908,M,Javelin Throw,54.83,00:00:54.83,54.83,segundos
S,Arne HALSE,NOR,London,1908,M,Javelin Throw,50.57,00:00:50.57,50.57,segundos
B,Otto NILSSON,SWE,London,1908,M,Javelin Throw,47.11,00:00:47.11,47.11,segundos
G,Keshorn WALCOTT,TTO,London,2012,M,Javelin Throw,84.58,00:00:84.58,84.58,segundos
B,Antti RUUSKANEN,FIN,London,2012,M,Javelin Throw,84.12,00:00:84.12,84.12,segundos
G,Andreas THORKILDSEN,NOR,Athens,2004,M,Javelin Throw,86.5,00:00:86.50,86.5,segundos
S,Vadims VASILEVSKIS,LAT,Athens,2004,M,Javelin Throw,84.95,00:00:84.95,84.95,segundos
B,Sergey MAKAROV,RUS,Athens,2004,M,Javelin Throw,84.84,00:00:84.84,84.84,segundos
G,Jan Å½ELEZNÃ,CZE,Atlanta,1996,M,Javelin Throw,88.16,00:00:88.16,88.16,segundos
S,Steve BACKLEY,GBR,Atlanta,1996,M,Javelin Throw,87.44,00:00:87.44,87.44,segundos
B,Seppo RÃTY,FIN,Atlanta,1996,M,Javelin Throw,86.98,00:00:86.98,86.98,segundos
G,Dainis KULA,URS,Moscow,1980,M,Javelin Throw,91.2,00:00:91.20,91.2,segundos
S,Aleksandr MAKAROV,URS,Moscow,1980,M,Javelin Throw,89.64,00:00:89.64,89.64,segundos
B,Wolfgang HANISCH,GDR,Moscow,1980,M,Javelin Throw,86.72,00:00:86.72,86.72,segundos
G,Pauli NEVALA,FIN,Tokyo,1964,M,Javelin Throw,82.66,00:00:82.66,82.66,segundos
S,Gergely KULCSÃR,HUN,Tokyo,1964,M,Javelin Throw,82.32,00:00:82.32,82.32,segundos
B,Yanis LUSIS,URS,Tokyo,1964,M,Javelin Throw,80.57,00:00:80.57,80.57,segundos
G,Matti JÃRVINEN,FIN,Los Angeles,1932,M,Javelin Throw,72.71,00:00:72.71,72.71,segundos
S,Matti SIPPALA,FIN,Los Angeles,1932,M,Javelin Throw,69.8,00:00:69.80,69.8,segundos
B,Eino PENTTILÃ,FIN,Los Angeles,1932,M,Javelin Throw,68.7,00:00:68.70,68.7,segundos
G,Jonni MYYRÃ,FIN,Paris,1924,M,Javelin Throw,62.96,00:00:62.96,62.96,segundos
S,Gunnar LINDSTRÃM,SWE,Paris,1924,M,Javelin Throw,60.92,00:00:60.92,60.92,segundos
B,Eugene OBERST,USA,Paris,1924,M,Javelin Throw,58.35,00:00:58.35,58.35,segundos
G,Eric LEMMING,SWE,Stockholm,1912,M,Javelin Throw,60.64,00:00:60.64,60.64,segundos
S,Juho Julius SAARISTO,FIN,Stockholm,1912,M,Javelin Throw,58.66,00:00:58.66,58.66,segundos
B,Mor KOVACS,HUN,Stockholm,1912,M,Javelin Throw,55.5,00:00:55.50,55.5,segundos
G,Jeff HENDERSON,USA,Rio,2016,M,Long Jump,8.38,00:00:08.38,8.38,segundos
S,Luvo MANYONGA,RSA,Rio,2016,M,Long Jump,8.37,00:00:08.37,8.37,segundos
B,Greg RUTHERFORD,GBR,Rio,2016,M,Long Jump,8.29,00:00:08.29,8.29,segundos
G,Irving SALADINO,PAN,Beijing,2008,M,Long Jump,8.34,00:00:08.34,8.34,segundos
S,Godfrey Khotso MOKOENA,RSA,Beijing,2008,M,Long Jump,8.24,00:00:08.24,8.24,segundos
B,Ibrahim CAMEJO,CUB,Beijing,2008,M,Long Jump,8.2,8.2,,segundos
G,Ivan PEDROSO,CUB,Sydney,2000,M,Long Jump,8.55,00:00:08.55,8.55,segundos
S,Jai TAURIMA,AUS,Sydney,2000,M,Long Jump,8.49,00:00:08.49,8.49,segundos
B,Roman SCHURENKO,UKR,Sydney,2000,M,Long Jump,8.31,00:00:08.31,8.31,segundos
G,Carl LEWIS,USA,Barcelona,1992,M,Long Jump,8.67,00:00:08.67,8.67,segundos
S,Mike POWELL,USA,Barcelona,1992,M,Long Jump,8.64,00:00:08.64,8.64,segundos
B,Joe GREENE,USA,Barcelona,1992,M,Long Jump,8.34,00:00:08.34,8.34,segundos
G,Arnie ROBINSON,USA,Montreal,1976,M,Long Jump,8.35,00:00:08.35,8.35,segundos
S,Randel Luvelle WILLIAMS,USA,Montreal,1976,M,Long Jump,8.11,00:00:08.11,8.11,segundos
B,Frank WARTENBERG,GDR,Montreal,1976,M,Long Jump,8.02,00:00:08.02,8.02,segundos
G,Ralph BOSTON,USA,Rome,1960,M,Long Jump,8.12,00:00:08.12,8.12,segundos
S,Irvin ROBERSON,USA,Rome,1960,M,Long Jump,8.11,00:00:08.11,8.11,segundos
B,Igor TER-OVANESYAN,URS,Rome,1960,M,Long Jump,8.04,00:00:08.04,8.04,segundos
G,Jerome BIFFLE,USA,Helsinki,1952,M,Long Jump,7.57,00:00:07.57,7.57,segundos
S,Meredith GOURDINE,USA,Helsinki,1952,M,Long Jump,7.53,00:00:07.53,7.53,segundos
B,ÃâdÃÂ¶n FÃâLDESSY,HUN,Helsinki,1952,M,Long Jump,7.3,7.3,,segundos
G,Jesse OWENS,USA,Berlin,1936,M,Long Jump,8.06,00:00:08.06,8.06,segundos
S,Luz LONG,GER,Berlin,1936,M,Long Jump,7.87,00:00:07.87,7.87,segundos
B,Naoto TAJIMA,JPN,Berlin,1936,M,Long Jump,7.74,00:00:07.74,7.74,segundos
G,Edward Barton HAMM,USA,Amsterdam,1928,M,Long Jump,7.73,00:00:07.73,7.73,segundos
S,Sylvio CATOR,HAI,Amsterdam,1928,M,Long Jump,7.58,00:00:07.58,7.58,segundos
B,Al BATES,USA,Amsterdam,1928,M,Long Jump,7.4,7.4,,segundos
G,Frank IRONS,USA,London,1908,M,Long Jump,7.48,00:00:07.48,7.48,segundos
S,Daniel KELLY,USA,London,1908,M,Long Jump,7.09,00:00:07.09,7.09,segundos
B,Calvin BRICKER,CAN,London,1908,M,Long Jump,7.08,00:00:07.08,7.08,segundos
G,Alvin KRAENZLEIN,USA,Paris,1900,M,Long Jump,7.185,07.185,,segundos
S,Meyer PRINSTEIN,USA,Paris,1900,M,Long Jump,7.175,07.175,,segundos
B,Patrick LEAHY,GBR,Paris,1900,M,Long Jump,6.95,00:00:06.95,6.95,segundos
G,Greg RUTHERFORD,GBR,London,2012,M,Long Jump,8.31,00:00:08.31,8.31,segundos
S,Mitchell WATT,AUS,London,2012,M,Long Jump,8.16,00:00:08.16,8.16,segundos
B,Will CLAYE,USA,London,2012,M,Long Jump,8.12,00:00:08.12,8.12,segundos
G,Dwight PHILLIPS,USA,Athens,2004,M,Long Jump,8.59,00:00:08.59,8.59,segundos
S,John MOFFITT,USA,Athens,2004,M,Long Jump,8.47,00:00:08.47,8.47,segundos
B,Joan Lino MARTINEZ,ESP,Athens,2004,M,Long Jump,8.32,00:00:08.32,8.32,segundos
G,Carl LEWIS,USA,Atlanta,1996,M,Long Jump,8.5,8.5,,segundos
S,James BECKFORD,JAM,Atlanta,1996,M,Long Jump,8.29,00:00:08.29,8.29,segundos
B,Joe GREENE,USA,Atlanta,1996,M,Long Jump,8.24,00:00:08.24,8.24,segundos
G,Lutz DOMBROWSKI,GDR,Moscow,1980,M,Long Jump,8.54,00:00:08.54,8.54,segundos
S,Frank PASCHEK,GDR,Moscow,1980,M,Long Jump,8.21,00:00:08.21,8.21,segundos
B,Valeri PODLUZHNYI,URS,Moscow,1980,M,Long Jump,8.18,00:00:08.18,8.18,segundos
G,Lynn DAVIES,GBR,Tokyo,1964,M,Long Jump,8.07,00:00:08.07,8.07,segundos
S,Ralph BOSTON,USA,Tokyo,1964,M,Long Jump,8.03,00:00:08.03,8.03,segundos
B,Igor TER-OVANESYAN,URS,Tokyo,1964,M,Long Jump,7.99,00:00:07.99,7.99,segundos
G,Edward Lansing GORDON,USA,Los Angeles,1932,M,Long Jump,7.64,00:00:07.64,7.64,segundos
S,Lambert REDD,USA,Los Angeles,1932,M,Long Jump,7.6,7.6,,segundos
B,Chuhei NAMBU,JPN,Los Angeles,1932,M,Long Jump,7.45,00:00:07.45,7.45,segundos
G,William De Hart HUBBARD,USA,Paris,1924,M,Long Jump,7.445,07.445,,segundos
S,Edward Orval GOURDIN,USA,Paris,1924,M,Long Jump,7.275,07.275,,segundos
B,Sverre HANSEN,NOR,Paris,1924,M,Long Jump,7.26,00:00:07.26,7.26,segundos
G,Albert GUTTERSON,USA,Stockholm,1912,M,Long Jump,7.6,7.6,,segundos
S,Calvin BRICKER,CAN,Stockholm,1912,M,Long Jump,7.21,00:00:07.21,7.21,segundos
B,Georg ABERG,SWE,Stockholm,1912,M,Long Jump,7.18,00:00:07.18,7.18,segundos
G,Meyer PRINSTEIN,USA,St Louis,1904,M,Long Jump,7.34,00:00:07.34,7.34,segundos
S,Daniel FRANK,USA,St Louis,1904,M,Long Jump,6.89,00:00:06.89,6.89,segundos
B,Robert STANGLAND,USA,St Louis,1904,M,Long Jump,6.88,00:00:06.88,6.88,segundos
G,Ellery CLARK,USA,Athens,1896,M,Long Jump,6.35,00:00:06.35,6.35,segundos
S,Robert GARRETT,USA,Athens,1896,M,Long Jump,6.18,00:00:06.18,6.18,segundos
B,James CONNOLLY,USA,Athens,1896,M,Long Jump,6.11,00:00:06.11,6.11,segundos
G,Eliud Kipchoge ROTICH,KEN,Rio,2016,M,Marathon,02:08:44,02:08:44.00,7724,segundos
S,Feyisa LILESA,ETH,Rio,2016,M,Marathon,2:09:54,00:02:09:54,,segundos
B,Galen RUPP,USA,Rio,2016,M,Marathon,2:10:05,00:02:10:05,,segundos
G,Samuel Kamau WANJIRU,KEN,Beijing,2008,M,Marathon,2h06:32,02006:32,,segundos
S,Jaouad GHARIB,MAR,Beijing,2008,M,Marathon,2h07:16,02007:16,,segundos
B,Tsegay KEBEDE,ETH,Beijing,2008,M,Marathon,2h10:00,02010:00,,segundos
G,Gezahegne ABERA,ETH,Sydney,2000,M,Marathon,02h10:11,002010:11,,segundos
S,Erick WAINAINA,KEN,Sydney,2000,M,Marathon,02h10:31,002010:31,,segundos
B,Tesfaye TOLA,ETH,Sydney,2000,M,Marathon,02h11:10,002011:10,,segundos
G,Young-Cho HWANG,KOR,Barcelona,1992,M,Marathon,2:13:23,00:02:13:23,,segundos
S,Koichi MORISHITA,JPN,Barcelona,1992,M,Marathon,2:13:45,00:02:13:45,,segundos
B,Stephan FREIGANG,GER,Barcelona,1992,M,Marathon,2:14:00,00:02:14:00,,segundos
G,Carlos LOPES,POR,Los Angeles,1984,M,Marathon,2:09:21,00:02:09:21,,segundos
S,John TREACY,IRL,Los Angeles,1984,M,Marathon,2:09:56,00:02:09:56,,segundos
B,Charles SPEDDING,GBR,Los Angeles,1984,M,Marathon,2:09:58,00:02:09:58,,segundos
G,Waldemar CIERPINSKI,GDR,Montreal,1976,M,Marathon,2:09:55.0,02:09:55.0,,segundos
S,Frank Charles SHORTER,USA,Montreal,1976,M,Marathon,2:10:45.8,02:10:45.8,,segundos
B,Karel LISMONT,BEL,Montreal,1976,M,Marathon,2:11:12.6,02:11:12.6,,segundos
G,Mamo WOLDE,ETH,Mexico,1968,M,Marathon,2:20:26.4,02:20:26.4,,segundos
S,Kenji KIMIHARA,JPN,Mexico,1968,M,Marathon,2:23:31.0,02:23:31.0,,segundos
B,Mike RYAN,NZL,Mexico,1968,M,Marathon,2:23:45.0,02:23:45.0,,segundos
G,Abebe BIKILA,ETH,Rome,1960,M,Marathon,2:15:16.2,02:15:16.2,,segundos
S,Abdesiem RHADI BEN ABDESSELEM,MAR,Rome,1960,M,Marathon,2:15:41.6,02:15:41.6,,segundos
B,Barry MAGEE,NZL,Rome,1960,M,Marathon,2:17:18.2,02:17:18.2,,segundos
G,Emil ZÃTOPEK,TCH,Helsinki,1952,M,Marathon,2:23:03.2,02:23:03.2,,segundos
S,Reinaldo GORNO,ARG,Helsinki,1952,M,Marathon,2:25:35.0,02:25:35.0,,segundos
B,Gustaf JANSSON,SWE,Helsinki,1952,M,Marathon,2:26:07.0,02:26:07.0,,segundos
G,Kitei SON,JPN,Berlin,1936,M,Marathon,2:29:19.2,02:29:19.2,,segundos
S,Ernest HARPER,GBR,Berlin,1936,M,Marathon,2:31:23.2,02:31:23.2,,segundos
B,Shoryu NAN,JPN,Berlin,1936,M,Marathon,2:31:42.0,02:31:42.0,,segundos
G,BoughÃ¨ra EL OUAFI,FRA,Amsterdam,1928,M,Marathon,2:32.57,00:02:32.57,152.57,segundos
S,Manuel PLAZA,CHI,Amsterdam,1928,M,Marathon,2:33.23,00:02:33.23,153.23,segundos
B,Martti MARTTELIN,FIN,Amsterdam,1928,M,Marathon,2:35.02,00:02:35.02,155.02,segundos
G,Hannes KOLEHMAINEN,FIN,Antwerp,1920,M,Marathon,2:32:35.8,02:32:35.8,,segundos
S,JÃ¼ri LOSSMANN,EST,Antwerp,1920,M,Marathon,2:32:48.6,02:32:48.6,,segundos
B,Valerio ARRI,ITA,Antwerp,1920,M,Marathon,2:36:32.8,02:36:32.8,,segundos
G,John HAYES,USA,London,1908,M,Marathon,2:55:18.4,02:55:18.4,,segundos
S,Charles HEFFERON,RSA,London,1908,M,Marathon,2:56:06.0,02:56:06.0,,segundos
B,Joseph FORSHAW,USA,London,1908,M,Marathon,2:57:10.4,02:57:10.4,,segundos
G,Michel THÃATO,FRA,Paris,1900,M,Marathon,2-59:45.0,02-59:45.0,,segundos
S,Ãmile CHAMPION,FRA,Paris,1900,M,Marathon,3-04:17.0,03-04:17.0,,segundos
B,Ernst FAST,SWE,Paris,1900,M,Marathon,3-37:14.0,03-37:14.0,,segundos
G,Stephen KIPROTICH,UGA,London,2012,M,Marathon,2:08:01,00:02:08:01,,segundos
S,Abel KIRUI,KEN,London,2012,M,Marathon,2:08:27,00:02:08:27,,segundos
B,Wilson Kipsang KIPROTICH,KEN,London,2012,M,Marathon,2:09:37,00:02:09:37,,segundos
G,Stefano BALDINI,ITA,Athens,2004,M,Marathon,2h10:55,02010:55,,segundos
S,Mebrahtom KEFLEZIGHI,USA,Athens,2004,M,Marathon,2h11:29,02011:29,,segundos
B,Vanderlei DE LIMA,BRA,Athens,2004,M,Marathon,2h12:11,02012:11,,segundos
G,Josia THUGWANE,RSA,Atlanta,1996,M,Marathon,2:12:36,00:02:12:36,,segundos
S,Bong Ju LEE,KOR,Atlanta,1996,M,Marathon,2:12:39,00:02:12:39,,segundos
B,Erick WAINAINA,KEN,Atlanta,1996,M,Marathon,2:12:44,00:02:12:44,,segundos
G,Gelindo BORDIN,ITA,Seoul,1988,M,Marathon,2:10:32,00:02:10:32,,segundos
S,Douglas WAKIIHURI,KEN,Seoul,1988,M,Marathon,2:10:47,00:02:10:47,,segundos
B,Hussein AHMED SALAH,DJI,Seoul,1988,M,Marathon,2:10:59,00:02:10:59,,segundos
G,Waldemar CIERPINSKI,GDR,Moscow,1980,M,Marathon,2:11:03.0,02:11:03.0,,segundos
S,Gerard NIJBOER,NED,Moscow,1980,M,Marathon,2:11:20.0,02:11:20.0,,segundos
B,Setymkul DZHUMANAZAROV,URS,Moscow,1980,M,Marathon,2:11:35.0,02:11:35.0,,segundos
G,Frank Charles SHORTER,USA,Munich,1972,M,Marathon,2:12:19.8,02:12:19.8,,segundos
S,Karel LISMONT,BEL,Munich,1972,M,Marathon,2:14:31.8,02:14:31.8,,segundos
B,Mamo WOLDE,ETH,Munich,1972,M,Marathon,2:15:08.4,02:15:08.4,,segundos
G,Abebe BIKILA,ETH,Tokyo,1964,M,Marathon,2:12:11.2,02:12:11.2,,segundos
S,Basil HEATLEY,GBR,Tokyo,1964,M,Marathon,2:16:19.2,02:16:19.2,,segundos
B,Kokichi TSUBURAYA,JPN,Tokyo,1964,M,Marathon,2:16:22.8,02:16:22.8,,segundos
G,Alain MIMOUN,FRA,Melbourne / Stockholm,1956,M,Marathon,2:25:00,00:02:25:00,,segundos
S,Franjo MIHALIC,YUG,Melbourne / Stockholm,1956,M,Marathon,2:26:32,00:02:26:32,,segundos
B,Veikko KARVONEN,FIN,Melbourne / Stockholm,1956,M,Marathon,2:27:47,00:02:27:47,,segundos
G,Delfo CABRERA,ARG,London,1948,M,Marathon,2:34:51.6,02:34:51.6,,segundos
S,Thomas John Henry RICHARDS,GBR,London,1948,M,Marathon,2:35:07.6,02:35:07.6,,segundos
B,Etienne GAILLY,BEL,London,1948,M,Marathon,2:35:33.6,02:35:33.6,,segundos
G,Juan Carlos ZABALA,ARG,Los Angeles,1932,M,Marathon,2:31:36,00:02:31:36,,segundos
S,Samuel FERRIS,GBR,Los Angeles,1932,M,Marathon,2:31:55,00:02:31:55,,segundos
B,Armas TOIVONEN,FIN,Los Angeles,1932,M,Marathon,2:32:12,00:02:32:12,,segundos
G,Albin STENROOS,FIN,Paris,1924,M,Marathon,2:41:22.6,02:41:22.6,,segundos
S,Romeo BERTINI,ITA,Paris,1924,M,Marathon,2:47:19.6,02:47:19.6,,segundos
B,Clarence DEMAR,USA,Paris,1924,M,Marathon,2:48:14.0,02:48:14.0,,segundos
G,Kennedy Kane MCARTHUR,RSA,Stockholm,1912,M,Marathon,2:36:54.8,02:36:54.8,,segundos
S,Christian W. GITSHAM,RSA,Stockholm,1912,M,Marathon,2:37:52.0,02:37:52.0,,segundos
B,Gaston STROBINO,USA,Stockholm,1912,M,Marathon,2:38:42.4,02:38:42.4,,segundos
G,Thomas HICKS,USA,St Louis,1904,M,Marathon,3:28:53.0,03:28:53.0,,segundos
S,Albert CORAY,USA,St Louis,1904,M,Marathon,3:34:52.0,03:34:52.0,,segundos
B,Arthur NEWTON,USA,St Louis,1904,M,Marathon,3:47:33.0,03:47:33.0,,segundos
G,Spyridon LOUIS,GRE,Athens,1896,M,Marathon,2-58:50,02-58:50,,segundos
S,Kharilaos VASILAKOS,GRE,Athens,1896,M,Marathon,3-06:03,03-06:03,,segundos
B,Gyula KELLNER,HUN,Athens,1896,M,Marathon,3-06:35,03-06:35,,segundos
G,Thiago Braz DA SILVA,BRA,Rio,2016,M,Pole Vault,6.03,00:00:06.03,6.03,segundos
S,Renaud LAVILLENIE,FRA,Rio,2016,M,Pole Vault,5.98,00:00:05.98,5.98,segundos
B,Sam KENDRICKS,USA,Rio,2016,M,Pole Vault,5.85,00:00:05.85,5.85,segundos
G,Steve HOOKER,AUS,Beijing,2008,M,Pole Vault,5.96,00:00:05.96,5.96,segundos
S,Evgeniy LUKYANENKO,RUS,Beijing,2008,M,Pole Vault,5.85,00:00:05.85,5.85,segundos
G,Nick HYSONG,USA,Sydney,2000,M,Pole Vault,5.9,5.9,,segundos
S,Lawrence JOHNSON,USA,Sydney,2000,M,Pole Vault,5.9,5.9,,segundos
B,Maksim TARASOV,RUS,Sydney,2000,M,Pole Vault,5.9,5.9,,segundos
G,Maksim TARASOV,EUN,Barcelona,1992,M,Pole Vault,5.8,5.8,,segundos
S,Igor TRANDENKOV,EUN,Barcelona,1992,M,Pole Vault,5.8,5.8,,segundos
B,Javier GARCÃA,ESP,Barcelona,1992,M,Pole Vault,5.75,00:00:05.75,5.75,segundos
G,Don BRAGG,USA,Rome,1960,M,Pole Vault,4.7,4.7,,segundos
S,Ronald MORRIS,USA,Rome,1960,M,Pole Vault,4.6,4.6,,segundos
B,Eeles LANDSTRÃM,FIN,Rome,1960,M,Pole Vault,4.55,00:00:04.55,4.55,segundos
G,Bob RICHARDS,USA,Helsinki,1952,M,Pole Vault,4.55,00:00:04.55,4.55,segundos
S,Don LAZ,USA,Helsinki,1952,M,Pole Vault,4.5,4.5,,segundos
B,Ragnar Torsten LUNDBERG,SWE,Helsinki,1952,M,Pole Vault,4.4,4.4,,segundos
G,Alfred Carleten GILBERT,USA,London,1908,M,Pole Vault,3.71,00:00:03.71,3.71,segundos
G,Edward COOK,USA,London,1908,M,Pole Vault,3.71,00:00:03.71,3.71,segundos
B,Edward ARCHIBALD,CAN,London,1908,M,Pole Vault,3.58,00:00:03.58,3.58,segundos
B,Charles JACOBS,USA,London,1908,M,Pole Vault,3.58,00:00:03.58,3.58,segundos
B,Bruno SÃDERSTRÃM,SWE,London,1908,M,Pole Vault,3.58,00:00:03.58,3.58,segundos
G,Irving BAXTER,USA,Paris,1900,M,Pole Vault,3.3,3.3,,segundos
S,Meredith COLKETT,USA,Paris,1900,M,Pole Vault,3.25,00:00:03.25,3.25,segundos
B,Carl Albert ANDERSEN,NOR,Paris,1900,M,Pole Vault,3.2,3.2,,segundos
